название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
ВЫРУЧАЙ СЫР КОСИЧКА 45% 150Г,9,1835,Сыр,,,0.15кг,45%,бренд,"сыр 45% ""ВЫРУЧАЙ СЫР КОСИЧКА 45% 150Г"" какая марка",Пятёрочка
"ПИЛЗНЕР УРКВ ЖБ 0,5Л",9,1691,,,,,,"категория, бренд, фасовка","""ПИЛЗНЕР УРКВ ЖБ 0,5Л"" что за товар",Глобус
МАСЛО МОТ MOBIL 1,8,9866,,,,,,"категория, бренд, фасовка","""МАСЛО МОТ MOBIL 1"" что за товар",Глобус
ХЛЕБ ТОСТОВЫЙ 500Г,8,347,Хлеб,,,0.5кг,,бренд,"хлеб ""ХЛЕБ ТОСТОВЫЙ 500Г"" какая марка",Глобус
ГУБКА GLOBUS,8,373,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""ГУБКА GLOBUS"" производитель вес упаковки",Глобус
СОЛОД КРАСН400ГР,8,999,,,,,,"категория, бренд, фасовка","""СОЛОД КРАСН400ГР"" что за товар",Глобус
ВОДА Б/Г 8Л ПЭТ,8,1011,Вода,,,8л,,бренд,"вода ""ВОДА Б/Г 8Л ПЭТ"" какая марка",Глобус
"МАСЛО СЛИВ 82,5% 180",8,1560,Масло сливочное,,,0.18кг,"82,5%",бренд,"масло сливочное 82,5% ""МАСЛО СЛИВ 82,5% 180"" какая марка",Глобус
БЕКОН С/К НАР.200Г,8,2583,Колбаса и сосиски,,,0.2кг,,"бренд, жирность","колбаса и сосиски ""БЕКОН С/К НАР.200Г"" какая марка",Глобус
КАРТОФ ЕГИП ВЕС,8,2500,,да,,,,категория,"""КАРТОФ ЕГИП ВЕС"" что за товар",Глобус
СМЕТ ПРОСТОКВ25%300Г,8,747,Сметана,,,0.3кг,25%,бренд,"сметана 25% ""СМЕТ ПРОСТОКВ25%300Г"" какая марка",Глобус
АДЖИКА ТРАДИЦ 170Г,8,1017,Соусы и приправы,,,0.17кг,,бренд,"соусы и приправы ""АДЖИКА ТРАДИЦ 170Г"" какая марка",Глобус
ОГУРЦЫ КОРОТК ЛУХОВИЦ,8,3298,Овощи,,,,,"бренд, фасовка","овощи ""ОГУРЦЫ КОРОТК ЛУХОВИЦ"" производитель вес упаковки",Глобус
СВЕТ.МАСЛО ТР.С/С Н/,8,952,,,Свитлогорье,,,"категория, фасовка",Свитлогорье вес упаковки грамм купить,Продторг
ШОК ТЕМ МИНДАЛЬ 100Г,8,3294,Сухофрукты и орехи,,,0.1кг,,бренд,"сухофрукты и орехи ""ШОК ТЕМ МИНДАЛЬ 100Г"" какая марка",Глобус
БАТАР. OPTICELL,8,3050,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР. OPTICELL"" производитель вес упаковки",Глобус
ПАЛ Д/ПТ ОР 3ШТ,8,1658,,,,,,"категория, бренд, фасовка","""ПАЛ Д/ПТ ОР 3ШТ"" что за товар",Глобус
СЫР БРИ ПРЕЗИДЕНТ125,8,2137,Сыр,,President,0.125кг,,жирность,President сыр жирность процент,Глобус
ЙОГ ДАНИС ШОК ШАР105,8,537,Выпечка и сладкое,,,0.105кг,,бренд,"выпечка и сладкое ""ЙОГ ДАНИС ШОК ШАР105"" какая марка",Глобус
СОУС ГОРЧИЧНЫЙ (3Г),8,7,Соусы и приправы,,,0.003кг,,бренд,"соусы и приправы ""СОУС ГОРЧИЧНЫЙ (3Г)"" какая марка",Глобус
СЫР МОЦАРЕЛ МИНИ150Г,8,1470,Сыр,,,0.15кг,,"бренд, жирность","сыр ""СЫР МОЦАРЕЛ МИНИ150Г"" какая марка",Глобус
МОР.ШОК.БЕЛ.ПЛ.80Г,8,928,Выпечка и сладкое,,,0.08кг,,бренд,"выпечка и сладкое ""МОР.ШОК.БЕЛ.ПЛ.80Г"" какая марка",Глобус
ВИНО FIORE PROS.ИГР.,8,6392,Вино,,,,,"бренд, фасовка, жирность","вино ""ВИНО FIORE PROS.ИГР."" производитель вес упаковки",Продторг
"ПИВО МОРШАНСКОЕ 0,5Л",8,1272,Пиво,,,0.5л,,"бренд, жирность","пиво ""ПИВО МОРШАНСКОЕ 0,5Л"" какая марка",Глобус
АВОКАДО,7,1092,Овощи,,,,,"бренд, фасовка","овощи ""АВОКАДО"" производитель вес упаковки",Глобус
"ПЕЧЕНЬЕ СДОБНОЕ ОВСЯНОЕ, ПОСТНОЕ 280Г,ШТ",7,1210,Выпечка и сладкое,,,0.28кг,,бренд,"выпечка и сладкое ""ПЕЧЕНЬЕ СДОБНОЕ ОВСЯНОЕ, ПОСТНОЕ 280Г,ШТ"" какая марка",ВкусВилл
БУМ.ПОЛ.ФАМИЛ.2СЛ1Р,7,691,,,,,,"категория, бренд, фасовка","""БУМ.ПОЛ.ФАМИЛ.2СЛ1Р"" что за товар",Глобус
РЕДИС 500ГР ШТ,7,619,Овощи,,,,,"бренд, фасовка","овощи ""РЕДИС 500ГР ШТ"" производитель вес упаковки",Глобус
САХАР ТРОСНИКОВЫЙ1КГ,7,1623,Сахар и соль,,,1кг,,бренд,"сахар и соль ""САХАР ТРОСНИКОВЫЙ1КГ"" какая марка",Глобус
АНТИФРИЗ ЗЕЛ.1КГ,7,1399,Автотовары,,,1кг,,бренд,"автотовары ""АНТИФРИЗ ЗЕЛ.1КГ"" какая марка",Глобус
МУКА ПШЕНИЧНАЯ 1КГ,7,1651,Мука,,,1кг,,бренд,"мука ""МУКА ПШЕНИЧНАЯ 1КГ"" какая марка",Глобус
КОЛБ.ДОКТОРСКАЯ ВЕС,7,3080,,да,,,,категория,"""КОЛБ.ДОКТОРСКАЯ ВЕС"" что за товар",Глобус
РЫЧАЛ-СУ ГАЗ ПЭТ 1Л,7,1011,,,,,,"категория, бренд, фасовка","""РЫЧАЛ-СУ ГАЗ ПЭТ 1Л"" что за товар",Глобус
АНТИФРИЗ АЛЬФА,7,1502,Автотовары,,,,,"бренд, фасовка","автотовары ""АНТИФРИЗ АЛЬФА"" производитель вес упаковки",Глобус
ХЕК ТУШКА ЗАМ ВЕС,7,2137,,да,,,,категория,"""ХЕК ТУШКА ЗАМ ВЕС"" что за товар",Глобус
РЕДЬКА ЧЕРНАЯ ВЕС,7,362,,да,,,,категория,"""РЕДЬКА ЧЕРНАЯ ВЕС"" что за товар",Глобус
"ВИН ТЕРРИТОР КР 0,75",7,3651,Вино,,,0.75л,,"бренд, жирность","вино ""ВИН ТЕРРИТОР КР 0,75"" какая марка",Глобус
ДРОЖЖИ ЛЮКС 100Г,7,147,,,,,,"категория, бренд, фасовка","""ДРОЖЖИ ЛЮКС 100Г"" что за товар",Глобус
