название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
СМЕТАНА 20% РАЭ 500Г,4,472,Сметана,,,0.5кг,20%,бренд,"сметана 20% ""СМЕТАНА 20% РАЭ 500Г"" какая марка",Глобус
"МАСЛ.ЭКОМИЛК82,5%380",4,1115,,,Экомилк,,"82,5%","категория, фасовка","Экомилк 82,5% вес упаковки грамм купить",Глобус
СОЛЬ ЙОД ПОЛЕСЬЕ 1КГ,4,1201,Сахар и соль,,,1кг,,бренд,"сахар и соль ""СОЛЬ ЙОД ПОЛЕСЬЕ 1КГ"" какая марка",Глобус
СЫР КАМАМБЕР50% 125Г,4,838,Сыр,,,0.125кг,50%,бренд,"сыр 50% ""СЫР КАМАМБЕР50% 125Г"" какая марка",Глобус
МОР.ПЛ.КОР.ИЗ К.400Г,4,925,Заморозка,,,0.4кг,,бренд,"заморозка ""МОР.ПЛ.КОР.ИЗ К.400Г"" какая марка",Глобус
ПЕТЕЛ.ПЕЧЕНЬ ЦБ ОХЛ.500Г,4,466,Птица,,,0.5кг,,бренд,"птица ""ПЕТЕЛ.ПЕЧЕНЬ ЦБ ОХЛ.500Г"" какая марка",Продторг
ЯЙЦА КУР.С1 СТОЛ.ФАС.10ШТ,4,886,Яйцо,,,10шт,,бренд,"яйцо ""ЯЙЦА КУР.С1 СТОЛ.ФАС.10ШТ"" какая марка",Продторг
"ВИНО ТЕР РЕЗ БЛ 0,75",4,2488,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО ТЕР РЕЗ БЛ 0,75"" какая марка",Глобус
ЗУБОЧИСТКИ 500ШТ,4,358,,,,,,"категория, бренд, фасовка","""ЗУБОЧИСТКИ 500ШТ"" что за товар",Глобус
ШИНА VIATTI 185/65/1,4,13076,,,,,,"категория, бренд, фасовка","""ШИНА VIATTI 185/65/1"" что за товар",Глобус
АДЖИКА ГЛОБ170Г,4,386,Соусы и приправы,,,0.17кг,,бренд,"соусы и приправы ""АДЖИКА ГЛОБ170Г"" какая марка",Глобус
ОГУРЕЦ,4,373,Овощи,,,,,"бренд, фасовка","овощи ""ОГУРЕЦ"" производитель вес упаковки",Глобус
СВЕТАЕВО МОР.ЭСК.ПЛОМБ.ВАН.8,4,156,Заморозка,,,,,"бренд, фасовка","заморозка ""СВЕТАЕВО МОР.ЭСК.ПЛОМБ.ВАН.8"" производитель вес упаковки",Продторг
ПЕТЕЛ.ПЕЧЕНЬ ЦБ ОХЛ.,4,476,Птица,,,,,"бренд, фасовка","птица ""ПЕТЕЛ.ПЕЧЕНЬ ЦБ ОХЛ."" производитель вес упаковки",Продторг
СВЕТ. МАССА ТВОР КУР,4,251,Сырки и творожные десерты,,Свитлогорье,,,"фасовка, жирность",Свитлогорье сырки и творожные десерты вес упаковки грамм купить,Продторг
ALTERO МАСЛО ПОДС.81,4,565,Масло растительное,,,,,"бренд, фасовка","масло растительное ""ALTERO МАСЛО ПОДС.81"" производитель вес упаковки",Продторг
"ЖАТЕЦК ГУСЬ СТ 0,45Л",4,238,,,,,,"категория, бренд, фасовка","""ЖАТЕЦК ГУСЬ СТ 0,45Л"" что за товар",Глобус
ЛЕБО ИТАЛИАНО 1КГ,4,6180,,,,,,"категория, бренд, фасовка","""ЛЕБО ИТАЛИАНО 1КГ"" что за товар",Глобус
КОЛБ.МАЛАХ.С/К 250Г,4,1349,,,,,,"категория, бренд, фасовка","""КОЛБ.МАЛАХ.С/К 250Г"" что за товар",Глобус
РЕМКОМЛЕКТ Д/БАССЕЙН,4,380,,,,,,"категория, бренд, фасовка","""РЕМКОМЛЕКТ Д/БАССЕЙН"" что за товар",Глобус
ЛОС.МУРМАН КУС СС ВУ,4,4022,,да,,,,категория,"""ЛОС.МУРМАН КУС СС ВУ"" что за товар",Глобус
БАРАНЬИ МЯСНЫЕ КОСТИ,4,942,,да,,,,категория,"""БАРАНЬИ МЯСНЫЕ КОСТИ"" что за товар",Глобус
МАСЛО ПРАВ.СЛИВ 180Г,4,506,,,,,,"категория, бренд, фасовка","""МАСЛО ПРАВ.СЛИВ 180Г"" что за товар",Глобус
"ВИНО ТЕРРАШ КР 1,5Л",4,4488,Вино,,,1.5л,,"бренд, жирность","вино ""ВИНО ТЕРРАШ КР 1,5Л"" какая марка",Глобус
МОР.С ЧЕР.СМОР.400Г,4,890,Заморозка,,,0.4кг,,бренд,"заморозка ""МОР.С ЧЕР.СМОР.400Г"" какая марка",Глобус
ЛАМПА VOLPE LED,4,1426,,,,,,"категория, бренд, фасовка","""ЛАМПА VOLPE LED"" что за товар",Глобус
FOODF.СЫР ЧЕЧИЛ-СПАГ,4,366,Сыр,,,,,"бренд, фасовка, жирность","сыр ""FOODF.СЫР ЧЕЧИЛ-СПАГ"" производитель вес упаковки",Продторг
"ПЯТЬ ЗВЕЗДОЧЕК 0,5Л",4,2887,,,,,,"категория, бренд, фасовка","""ПЯТЬ ЗВЕЗДОЧЕК 0,5Л"" что за товар",Глобус
ВЕТЧ.ТОСТ.НАР.210Г,4,1495,,,,,,"категория, бренд, фасовка","""ВЕТЧ.ТОСТ.НАР.210Г"" что за товар",Глобус
ВЕТЧИНА СОЧ.НАР 160Г,4,1105,Колбаса и сосиски,,,0.16кг,,"бренд, жирность","колбаса и сосиски ""ВЕТЧИНА СОЧ.НАР 160Г"" какая марка",Глобус
МЕШКИ Д/МУСОРА,4,1109,,,,,,"категория, бренд, фасовка","""МЕШКИ Д/МУСОРА"" что за товар",Глобус
ЛУК ЗЕЛЕНЫЙ 100 ГР,4,345,Овощи,,,,,"бренд, фасовка","овощи ""ЛУК ЗЕЛЕНЫЙ 100 ГР"" производитель вес упаковки",Глобус
ЩАВЕЛЬ 100ГР,4,890,,,,,,"категория, бренд, фасовка","""ЩАВЕЛЬ 100ГР"" что за товар",Глобус
НОСКИ ЖЕНСКИЕ,4,576,,,,,,"категория, бренд, фасовка","""НОСКИ ЖЕНСКИЕ"" что за товар",Глобус
ТВОРОГ 5%180Г,4,237,Творог,,,0.18кг,5%,бренд,"творог 5% ""ТВОРОГ 5%180Г"" какая марка",Глобус
ВЕРНЕР ПЕЧЕНЬ ЦБ ОХЛ,4,844,Птица,,,,,"бренд, фасовка","птица ""ВЕРНЕР ПЕЧЕНЬ ЦБ ОХЛ"" производитель вес упаковки",Продторг
Т/Б ПАПИЯ БЕЛ 4СЛ 8Р,4,1133,,,,,,"категория, бренд, фасовка","""Т/Б ПАПИЯ БЕЛ 4СЛ 8Р"" что за товар",Глобус
ПЕЧЕНЬ ЦБ ОХЛ 500Г,4,789,Птица,,,0.5кг,,бренд,"птица ""ПЕЧЕНЬ ЦБ ОХЛ 500Г"" какая марка",Глобус
ТОМ ЧЕР КРАС СЛИВ,4,618,,да,,,,категория,"""ТОМ ЧЕР КРАС СЛИВ"" что за товар",Глобус
БОНД КУКУР 340,4,951,Птица,,,0.34кг,,бренд,"птица ""БОНД КУКУР 340"" какая марка",Глобус
СОУС БУРГЕР (3Г),4,3,Соусы и приправы,,,0.003кг,,бренд,"соусы и приправы ""СОУС БУРГЕР (3Г)"" какая марка",Глобус
ХЭШБРАУН КАРТ ТРЕУГОЛ,4,461,,,,,,"категория, бренд, фасовка","""ХЭШБРАУН КАРТ ТРЕУГОЛ"" что за товар",Глобус
РУКАВИЦА 14Х23,4,1893,,,,,,"категория, бренд, фасовка","""РУКАВИЦА 14Х23"" что за товар",Глобус
ПИЦ.ПЕППЕРОН.365Г,4,2031,,,,,,"категория, бренд, фасовка","""ПИЦ.ПЕППЕРОН.365Г"" что за товар",Глобус
САЛФ TOUCAN 1ШТ,4,433,,,,,,"категория, бренд, фасовка","""САЛФ TOUCAN 1ШТ"" что за товар",Глобус
КОФЕ С МОЛОКОМ В АССОРТ,4,72,Молоко,,,,,"бренд, фасовка, жирность","молоко ""КОФЕ С МОЛОКОМ В АССОРТ"" производитель вес упаковки",Глобус
НАГГЕТСЫ КУР.ТР.300Г,4,1359,Птица,,,0.3кг,,бренд,"птица ""НАГГЕТСЫ КУР.ТР.300Г"" какая марка",Глобус
ЙОГ.ШОК/ПЕЧ 105Г,4,268,,,,,,"категория, бренд, фасовка","""ЙОГ.ШОК/ПЕЧ 105Г"" что за товар",Глобус
ТБ PAPIA 4СЛ 8РУЛ,4,1197,,,,,,"категория, бренд, фасовка","""ТБ PAPIA 4СЛ 8РУЛ"" что за товар",Глобус
СВЕТ.МОЛ.ЦЕЛ.ПИТ.П.3,4,316,Молоко,,Свитлогорье,,,"фасовка, жирность",Свитлогорье молоко вес упаковки грамм купить,Продторг
ХЛЕБ БОРОДИНСКИЙ 400,4,295,Хлеб,,,0.4кг,,бренд,"хлеб ""ХЛЕБ БОРОДИНСКИЙ 400"" какая марка",Глобус
МАССА РАЭ ИЗ/ШОК 180,4,404,Выпечка и сладкое,,,0.18кг,,бренд,"выпечка и сладкое ""МАССА РАЭ ИЗ/ШОК 180"" какая марка",Глобус
БАТАР. ERGOLUX,4,497,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР. ERGOLUX"" производитель вес упаковки",Глобус
ОГУРЦЫ КОР ЛУХ 450,4,906,Овощи,,,0.45кг,,бренд,"овощи ""ОГУРЦЫ КОР ЛУХ 450"" какая марка",Глобус
ШОК МОЛ КЕШЬЮ 100Г,4,1383,Молоко,,,0.1кг,,"бренд, жирность","молоко ""ШОК МОЛ КЕШЬЮ 100Г"" какая марка",Глобус
БАЗИЛИК ЗЕЛ 50Г ШТ,4,897,Овощи,,,0.05кг,,бренд,"овощи ""БАЗИЛИК ЗЕЛ 50Г ШТ"" какая марка",Глобус
"АРХЫЗ ВОДА ГОРНАЯ ДЕТ.Н/Г 1,5Л",4,201,Вода,,,1.5л,,бренд,"вода ""АРХЫЗ ВОДА ГОРНАЯ ДЕТ.Н/Г 1,5Л"" какая марка",Пятёрочка
ШОКОЛ ЛЕС ОРЕХ 100Г,4,1400,Сухофрукты и орехи,,,0.1кг,,бренд,"сухофрукты и орехи ""ШОКОЛ ЛЕС ОРЕХ 100Г"" какая марка",Глобус
ЧЕЧИЛ СПАГ. В/У 100Г,4,494,Сыр,,,0.1кг,,"бренд, жирность","сыр ""ЧЕЧИЛ СПАГ. В/У 100Г"" какая марка",Глобус
ПЕЧ.ЦЫП-БРОЙ.450Г,4,744,,,,,,"категория, бренд, фасовка","""ПЕЧ.ЦЫП-БРОЙ.450Г"" что за товар",Глобус
МАНГО ЖЕЛТОЕ ВЕС,4,1185,,да,,,,категория,"""МАНГО ЖЕЛТОЕ ВЕС"" что за товар",Глобус
БОНМ.ЧЕБУРЕЧ.МЯСОМ Ж,4,782,,,,,,"категория, бренд, фасовка","""БОНМ.ЧЕБУРЕЧ.МЯСОМ Ж"" что за товар",Продторг
КАРТОФЕЛЬ ОТВАРНОЙ,4,434,Овощи,,,,,"бренд, фасовка","овощи ""КАРТОФЕЛЬ ОТВАРНОЙ"" производитель вес упаковки",Глобус
МОР.БЕЛ.ПЛ.80Г,4,558,Заморозка,,,0.08кг,,бренд,"заморозка ""МОР.БЕЛ.ПЛ.80Г"" какая марка",Глобус
ВИНО VIN.VER.PER.VIN,4,2396,Вино,,,,,"бренд, фасовка, жирность","вино ""ВИНО VIN.VER.PER.VIN"" производитель вес упаковки",Продторг
БРАУНИ ГОРЯЧ ШОКОЛ50,4,400,,,,,,"категория, бренд, фасовка","""БРАУНИ ГОРЯЧ ШОКОЛ50"" что за товар",Глобус
БРАУНИ ПЕЧЕН 50Г,4,400,,,,,,"категория, бренд, фасовка","""БРАУНИ ПЕЧЕН 50Г"" что за товар",Глобус
GL.VIL.SEL.ТОМАТЫ КОКТ.БАК.350Г,4,938,Овощи,,,0.35кг,,бренд,"овощи ""GL.VIL.SEL.ТОМАТЫ КОКТ.БАК.350Г"" какая марка",Пятёрочка
ВИНО C.LOR.S.RUB.КР.,4,2396,Вино,,,,,"бренд, фасовка, жирность","вино ""ВИНО C.LOR.S.RUB.КР."" производитель вес упаковки",Продторг
FAM.COL.НОСКИ ЖЕНСКИ,4,636,,,,,,"категория, бренд, фасовка","""FAM.COL.НОСКИ ЖЕНСКИ"" что за товар",Продторг
ВИНО C.L.PIN.GR.D.V.Б.СУХ.0.75Л,4,2396,Вино,,,0.75л,,"бренд, жирность","вино ""ВИНО C.L.PIN.GR.D.V.Б.СУХ.0.75Л"" какая марка",Продторг
АКК.КОНФЕТЫ ОТЛОМИ 360Г,4,836,Выпечка и сладкое,,,0.36кг,,бренд,"выпечка и сладкое ""АКК.КОНФЕТЫ ОТЛОМИ 360Г"" какая марка",Продторг
"СВЯТ ИСТОЧН ГАЗ 1,5Л",4,260,,,,,,"категория, бренд, фасовка","""СВЯТ ИСТОЧН ГАЗ 1,5Л"" что за товар",Глобус
"ПИВО ПРАГА 0,5Л 4,8%",4,535,Пиво,,,0.5л,"4,8%",бренд,"пиво 4,8% ""ПИВО ПРАГА 0,5Л 4,8%"" какая марка",Глобус
ТВОРОГ САВУШКИН180Г,4,380,Творог,,Савушкин,0.18кг,,жирность,Савушкин творог жирность процент,Глобус
НАБ РУЧЕК ШАР СИНИЙ,4,1000,,,,,,"категория, бренд, фасовка","""НАБ РУЧЕК ШАР СИНИЙ"" что за товар",Глобус
СЫРОК СВИТ.КАРАМ.50Г,4,234,Сырки и творожные десерты,,Свитлогорье,0.05кг,,жирность,Свитлогорье сырки и творожные десерты жирность процент,Глобус
МАРМЕЛАД ЯГОДНЫЙ МИКС МЯСНОВЪ БУФЕТ 300Г*20,3,639,Выпечка и сладкое,,,0.3кг,,бренд,"выпечка и сладкое ""МАРМЕЛАД ЯГОДНЫЙ МИКС МЯСНОВЪ БУФЕТ 300Г*20"" какая марка",Мясновъ
КОФЕ В АССОРТИМЕНТЕ,3,120,Чай и кофе,,,,,"бренд, фасовка","чай и кофе ""КОФЕ В АССОРТИМЕНТЕ"" производитель вес упаковки",Глобус
ДОКТОР.Р/В ИЗ ОХЛ МЯ,3,1390,,да,,,,категория,"""ДОКТОР.Р/В ИЗ ОХЛ МЯ"" что за товар",Ашан
ВЛАЖН.САЛФ.АУРА 120,3,309,,,,,,"категория, бренд, фасовка","""ВЛАЖН.САЛФ.АУРА 120"" что за товар",Глобус
"СЛИВКИ 10%, 450 МЛ,ШТ",3,255,Сливки,,,0.45л,10%,бренд,"сливки 10% ""СЛИВКИ 10%, 450 МЛ,ШТ"" какая марка",ВкусВилл
Т/Б РЕИНА 3СЛ 12РУЛ,3,620,,,,,,"категория, бренд, фасовка","""Т/Б РЕИНА 3СЛ 12РУЛ"" что за товар",Глобус
МЕШОК МУСОРНЫЙ 120Л,3,696,Выпечка и сладкое,,,120л,,бренд,"выпечка и сладкое ""МЕШОК МУСОРНЫЙ 120Л"" какая марка",Глобус
ФИЛЕ Б/К ПОДЛ. ОХЛ.,3,767,,да,,,,категория,"""ФИЛЕ Б/К ПОДЛ. ОХЛ."" что за товар",Глобус
ШОКОЛАД RITTER SPORT ГОРЬКИЙ ЭЛИТНЫЙ 100,3,553,Выпечка и сладкое,,,0.1кг,,бренд,"выпечка и сладкое ""ШОКОЛАД RITTER SPORT ГОРЬКИЙ ЭЛИТНЫЙ 100"" какая марка",Лента
КОНФ КО МИШКА КОС1КГ,3,863,,да,,,,категория,"""КОНФ КО МИШКА КОС1КГ"" что за товар",Глобус
КИСЛОТА ЛИМОН ВВ 80Г,3,126,Фрукты и ягоды,,,0.08кг,,бренд,"фрукты и ягоды ""КИСЛОТА ЛИМОН ВВ 80Г"" какая марка",Глобус
СЫР CR.BL.Л/ТОМ.150Г,3,333,Сыр,,,0.15кг,,"бренд, жирность","сыр ""СЫР CR.BL.Л/ТОМ.150Г"" какая марка",Глобус
МАСЛО MOBIL 5W30С 1Л,3,1952,,,,,,"категория, бренд, фасовка","""МАСЛО MOBIL 5W30С 1Л"" что за товар",Глобус
ТВОРОГ ДЕР.ЖИЗ.5 300,3,498,Творог,,,0.3кг,,"бренд, жирность","творог ""ТВОРОГ ДЕР.ЖИЗ.5 300"" какая марка",Глобус
СТЕКЛ. GLOBUS-15 4Л,3,1210,,,,,,"категория, бренд, фасовка","""СТЕКЛ. GLOBUS-15 4Л"" что за товар",Глобус
СЕМГА КУСОК С/С 300Г,3,1528,Рыба и морепродукты,,,0.3кг,,бренд,"рыба и морепродукты ""СЕМГА КУСОК С/С 300Г"" какая марка",Глобус
ШОК РИТ 73 КАКАО 100,3,501,Выпечка и сладкое,,,0.1кг,,бренд,"выпечка и сладкое ""ШОК РИТ 73 КАКАО 100"" какая марка",Глобус
"ПРЯНИКИ ЗАВАРНЫЕ МЯТНЫЕ,ШТ",3,308,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""ПРЯНИКИ ЗАВАРНЫЕ МЯТНЫЕ,ШТ"" производитель вес упаковки",ВкусВилл
АВОКАДО 1ШТ,3,316,Овощи,,,1шт,,бренд,"овощи ""АВОКАДО 1ШТ"" какая марка","Дикси, Ашан"
ЧАЙ ЧЕРН.В ПАК 2Х25,3,258,Чай и кофе,,,,,"бренд, фасовка","чай и кофе ""ЧАЙ ЧЕРН.В ПАК 2Х25"" производитель вес упаковки",Ашан
ПОЛОТ.КУХ.ЗЕВА 4РУЛ,3,460,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""ПОЛОТ.КУХ.ЗЕВА 4РУЛ"" производитель вес упаковки",Глобус
СЕЛЬДЕРЕЙ КОРЕНЬ,3,550,,да,,,,категория,"""СЕЛЬДЕРЕЙ КОРЕНЬ"" что за товар",Глобус
СУМКА ГОЛОГ.38Х38Х16,3,282,,,,,,"категория, бренд, фасовка","""СУМКА ГОЛОГ.38Х38Х16"" что за товар",Ашан
ГРЕЧКА ШЕБЕКЕНСК 900,3,389,Крупы и макароны,,,0.9кг,,бренд,"крупы и макароны ""ГРЕЧКА ШЕБЕКЕНСК 900"" какая марка",Глобус
АБРИКОС СУШЕНЫЙ ВЕС,3,643,,да,,,,категория,"""АБРИКОС СУШЕНЫЙ ВЕС"" что за товар",Глобус
ГУБ.Д/ПОС ПОСЕЙДОН,3,147,,,,,,"категория, бренд, фасовка","""ГУБ.Д/ПОС ПОСЕЙДОН"" что за товар",Глобус
БАГЕТ РУСТИКА 300ГР,3,60,Хлеб,,,,,"бренд, фасовка","хлеб ""БАГЕТ РУСТИКА 300ГР"" производитель вес упаковки",Глобус
ЛЕДЕНЦЫ HALLS СО ВКУСОМ МЕДА И ЛИМ 3Х25Г,3,275,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""ЛЕДЕНЦЫ HALLS СО ВКУСОМ МЕДА И ЛИМ 3Х25Г"" производитель вес упаковки",Лента
"ЯЙЦО КУРИНОЕ ДОМАШНЕЕ 1 ДЕС,ШТ",3,381,Яйцо,,,,,"бренд, фасовка","яйцо ""ЯЙЦО КУРИНОЕ ДОМАШНЕЕ 1 ДЕС,ШТ"" производитель вес упаковки",ВкусВилл
ЧЕРРИ ПЛАМ КРАСН 250,3,332,,,,,,"категория, бренд, фасовка","""ЧЕРРИ ПЛАМ КРАСН 250"" что за товар",Глобус
ФОРЕЛЬ ГУСТАФСЕН 300,3,1263,Рыба и морепродукты,,,0.3кг,,бренд,"рыба и морепродукты ""ФОРЕЛЬ ГУСТАФСЕН 300"" какая марка",Глобус
ИГРЫ И ЗАДАНИЯ,3,521,,,,,,"категория, бренд, фасовка","""ИГРЫ И ЗАДАНИЯ"" что за товар",Глобус
ТОМАТЫ ПЛАМШЕЙКЕР250,3,275,Овощи,,,0.25кг,,бренд,"овощи ""ТОМАТЫ ПЛАМШЕЙКЕР250"" какая марка",Глобус
"ТВОРОГ ВИШНЯ,ШТ",3,318,Творог,,,,,"бренд, фасовка, жирность","творог ""ТВОРОГ ВИШНЯ,ШТ"" производитель вес упаковки",ВкусВилл
"МАСЛО ВКУСН.82,5 200",3,634,Масло сливочное,,Вкуснотеево,0.2кг,,жирность,Вкуснотеево масло сливочное жирность процент,Глобус
ЛАМПА ГАЛ UNIEL,3,627,,,,,,"категория, бренд, фасовка","""ЛАМПА ГАЛ UNIEL"" что за товар",Глобус
КРЫЛО ЦЫПЛЕНКА 750Г,3,995,Птица,,,0.75кг,,бренд,"птица ""КРЫЛО ЦЫПЛЕНКА 750Г"" какая марка",Глобус
"МАСЛО ОМК.82,5 400Г",3,696,Масло сливочное,,,0.4кг,,"бренд, жирность","масло сливочное ""МАСЛО ОМК.82,5 400Г"" какая марка",Глобус
БУМ.ПОЛОТЕНЦА 3СЛ 4Р,3,421,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БУМ.ПОЛОТЕНЦА 3СЛ 4Р"" производитель вес упаковки",Глобус
ЖИДК.Д/РОЗЖИГА 1Л,3,449,,,,,,"категория, бренд, фасовка","""ЖИДК.Д/РОЗЖИГА 1Л"" что за товар",Глобус
МАРМЕЛАД НА ПАЛОЧКЕ МЯСНОВЪ ВКУСНЯШКА ДЕКОР. 20Г,3,150,Выпечка и сладкое,,,0.02кг,,бренд,"выпечка и сладкое ""МАРМЕЛАД НА ПАЛОЧКЕ МЯСНОВЪ ВКУСНЯШКА ДЕКОР. 20Г"" какая марка",Мясновъ
ТЕНД.САХАР-ПЕСОК/САХАР БЕЛ.5КГ,3,789,Сахар и соль,,,5кг,,бренд,"сахар и соль ""ТЕНД.САХАР-ПЕСОК/САХАР БЕЛ.5КГ"" какая марка","Перекрёсток, Пятёрочка"
СТЕКЛООМЫВ GLOBUS 4Л,3,232,Автотовары,,,4л,,бренд,"автотовары ""СТЕКЛООМЫВ GLOBUS 4Л"" какая марка",Глобус
СЛИВКИ ПЕТМОЛ33 1000,3,940,Сливки,,,1л,,"бренд, жирность","сливки ""СЛИВКИ ПЕТМОЛ33 1000"" какая марка",Глобус
КУКЛА LOL,3,7786,,,,,,"категория, бренд, фасовка","""КУКЛА LOL"" что за товар",Глобус
ХЛОПЬЯ НОРДИК 600Г,3,432,Крупы и макароны,,,0.6кг,,бренд,"крупы и макароны ""ХЛОПЬЯ НОРДИК 600Г"" какая марка",Глобус
ЧАППИ ПАУЧ 100Г,3,80,,,,,,"категория, бренд, фасовка","""ЧАППИ ПАУЧ 100Г"" что за товар",Глобус
КОКОСОВЫЕ СЛИВКИ 560,3,712,Сливки,,,0.56л,,"бренд, жирность","сливки ""КОКОСОВЫЕ СЛИВКИ 560"" какая марка",Глобус
ШАМПУРЫ БАМБУК,3,253,,,,,,"категория, бренд, фасовка","""ШАМПУРЫ БАМБУК"" что за товар",Глобус
ДОСКА РАЗДЕЛ.БАМБУК,3,860,,,,,,"категория, бренд, фасовка","""ДОСКА РАЗДЕЛ.БАМБУК"" что за товар",Глобус
МУКА УНИВЕРСАЛЬН600Г,3,508,Мука,,,0.6кг,,бренд,"мука ""МУКА УНИВЕРСАЛЬН600Г"" какая марка",Глобус
БАЗИЛИК ЗЕЛ.ЛОТОК50Г,3,463,Овощи,,,0.05кг,,бренд,"овощи ""БАЗИЛИК ЗЕЛ.ЛОТОК50Г"" какая марка",Глобус
ТАРХУН ГЛОБУС,3,496,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
МУКА ПШЕН ЭКСТРА 2КГ,3,372,Мука,,,2кг,,бренд,"мука ""МУКА ПШЕН ЭКСТРА 2КГ"" какая марка",Глобус
"МОЛОКО ЦЕЛ.3,6% 950Г",3,440,Молоко,,,0.95кг,"3,6%",бренд,"молоко 3,6% ""МОЛОКО ЦЕЛ.3,6% 950Г"" какая марка",Глобус
КОФЕ АМБАС АДОРА900Г,3,1478,Чай и кофе,,,0.9кг,,бренд,"чай и кофе ""КОФЕ АМБАС АДОРА900Г"" какая марка",Глобус
БАТАР ENERGIZER,3,918,Бытовая химия и гигиена,,,,,"бренд, фасовка","бытовая химия и гигиена ""БАТАР ENERGIZER"" производитель вес упаковки",Глобус
ГОЛУБИКА 125 ГР ШТ А,3,961,Фрукты и ягоды,,,,,"бренд, фасовка","фрукты и ягоды ""ГОЛУБИКА 125 ГР ШТ А"" производитель вес упаковки",Глобус
КОЛБ.ДОКТОРСК БЕЛК,3,1184,,да,,,,категория,"""КОЛБ.ДОКТОРСК БЕЛК"" что за товар",Глобус
ГОРЧИЦА ЕГОРЬВСК 250,3,148,Соусы и приправы,,,0.25кг,,бренд,"соусы и приправы ""ГОРЧИЦА ЕГОРЬВСК 250"" какая марка",Глобус
СЕКУНДА ЭПОКСИДНЫЙ,3,396,,,,,,"категория, бренд, фасовка","""СЕКУНДА ЭПОКСИДНЫЙ"" что за товар",Глобус
КОНЬЯК СТ КЕНИГСБ 1Л,3,2979,Крепкий алкоголь,,,1л,,"бренд, жирность","крепкий алкоголь ""КОНЬЯК СТ КЕНИГСБ 1Л"" какая марка",Глобус
МУКА НОРДИК 2КГ,3,811,Мука,,,2кг,,бренд,"мука ""МУКА НОРДИК 2КГ"" какая марка",Глобус
МЕШОК МУС ОС/ПР,3,248,Выпечка и сладкое,,,,,"бренд, фасовка","выпечка и сладкое ""МЕШОК МУС ОС/ПР"" производитель вес упаковки",Глобус
РАЗРЫХЛИТЕЛЬ Д/Т 10Г,3,70,,,,,,"категория, бренд, фасовка","""РАЗРЫХЛИТЕЛЬ Д/Т 10Г"" что за товар",Глобус
МАСЛИНЫ ГОНЗАЛЕС 300,3,479,Консервы,,,0.3кг,,бренд,"консервы ""МАСЛИНЫ ГОНЗАЛЕС 300"" какая марка",Глобус
ИМБИРЬ АРТ ФРУТ 250Г,3,481,Овощи,,,0.25кг,,бренд,"овощи ""ИМБИРЬ АРТ ФРУТ 250Г"" какая марка",Глобус
КОНФ СЛИВ ПОМАДКА250,3,745,,,,,,"категория, бренд, фасовка","""КОНФ СЛИВ ПОМАДКА250"" что за товар",Глобус
САХ.ДЕМЕР.ТЕМН 900Г,3,442,,,,,,"категория, бренд, фасовка","""САХ.ДЕМЕР.ТЕМН 900Г"" что за товар",Глобус
ФИЛЕ БЕДР.ЦБ ОХЛ750Г,3,853,Птица,,,0.75кг,,бренд,"птица ""ФИЛЕ БЕДР.ЦБ ОХЛ750Г"" какая марка",Глобус
СР ПОТХАН Д/ЧИС ТРУБ,3,2103,,,,,,"категория, бренд, фасовка","""СР ПОТХАН Д/ЧИС ТРУБ"" что за товар",Глобус
ЯЙЦО ГЛОБ.ДЕР.С1 30Ш,3,851,Яйцо,,Глобус,,,фасовка,Глобус яйцо вес упаковки грамм купить,Глобус
МОР.ЧЕРНОС/ОРЕХ 90Г,3,551,Сухофрукты и орехи,,,0.09кг,,бренд,"сухофрукты и орехи ""МОР.ЧЕРНОС/ОРЕХ 90Г"" какая марка",Глобус
"РЯЖЕНКА Б/Л.2,5%380Г",3,107,Кефир и кисломолочное,,,0.38кг,"2,5%",бренд,"кефир и кисломолочное 2,5% ""РЯЖЕНКА Б/Л.2,5%380Г"" какая марка",Глобус
СМЕТ ЧАБАН 400Г,3,986,Сметана,,,0.4кг,,"бренд, жирность","сметана ""СМЕТ ЧАБАН 400Г"" какая марка",Глобус
БОЛЬШАЯ РАСКРАСКА А3,3,256,,,,,,"категория, бренд, фасовка","""БОЛЬШАЯ РАСКРАСКА А3"" что за товар",Глобус
СМЕТАНА ВОЛ.25% 400Г,3,518,Сметана,,,0.4кг,25%,бренд,"сметана 25% ""СМЕТАНА ВОЛ.25% 400Г"" какая марка",Глобус
РАСКРАСЬ ПО ОБРАЗЦУ,3,324,,,,,,"категория, бренд, фасовка","""РАСКРАСЬ ПО ОБРАЗЦУ"" что за товар",Глобус
КОРМ Д/СРЕД ПОПУГ1КГ,3,2112,Зоотовары,,,1кг,,бренд,"зоотовары ""КОРМ Д/СРЕД ПОПУГ1КГ"" какая марка",Глобус
